ts,explorer_validators,kobe_running_bam,in_both,only_explorer,only_kobe,disputed_stake_sol,kobe_total_validators,chain_validators,onchain_matched,stake_reported_sol,stake_onchain_sol,stake_abs_diff_sol,stake_max_rel_pct,stake_median_rel_pct,bam_headline_stake_sol,bam_headline_share_pct,bam_share_reported_pct,bam_share_onchain_pct
2026-08-12T08:08:53Z,373,371,371,2,0,553151.23,668,690,373,141908572.93,141908572.87,0.06,0.0024,0.0000,141908572.87,32.6474,32.6342,32.6342
2026-08-12T08:24:24Z,373,371,371,2,0,124966.54,668,690,373,141919831.30,141919831.24,0.06,0.0024,0.0000,141919831.24,32.6500,32.6368,32.6368
2026-08-12T08:39:55Z,373,371,371,2,0,113708.17,668,689,373,141908572.93,141908572.87,0.06,0.0024,0.0000,141908572.87,32.6474,32.6370,32.6370
2026-08-12T08:54:58Z,376,371,371,5,0,600716.46,668,690,376,142395581.22,142395581.16,0.06,0.0024,0.0000,142395581.16,32.7595,32.7462,32.7462
2026-08-12T09:10:46Z,375,375,374,1,1,124966.54,668,690,375,142455283.93,142455283.86,0.07,0.0024,0.0000,142455283.86,32.7732,32.7599,32.7599
2026-08-12T09:26:17Z,374,375,373,1,2,422994.36,668,690,374,142157256.11,142157256.04,0.07,0.0024,0.0000,142157256.04,32.7047,32.6914,32.6914
2026-08-12T09:41:48Z,375,373,373,2,0,298202.62,668,690,375,142455283.93,142455283.86,0.07,0.0024,0.0000,142455283.86,32.7732,32.7599,32.7599
2026-08-12T09:57:19Z,374,373,372,2,1,393116.96,668,689,374,141991380.69,141991380.63,0.06,0.0024,0.0000,141991380.63,32.6665,32.6743,32.6743
2026-08-12T10:13:05Z,373,373,372,1,1,279583.59,668,689,373,141877847.32,141877847.26,0.06,0.0024,0.0000,141877847.26,32.6194,32.6481,32.6481
2026-08-12T10:28:37Z,373,372,372,1,0,174.80,668,690,373,141877847.32,141877847.26,0.06,0.0024,0.0000,141877847.26,32.6194,32.6272,32.6272
2026-08-12T10:44:08Z,374,372,372,2,0,124966.54,668,690,374,142002639.06,142002639.00,0.06,0.0024,0.0000,142002639.00,32.6481,32.6559,32.6559
2026-08-12T10:59:39Z,374,372,372,2,0,298202.62,668,690,374,142175875.14,142175875.08,0.06,0.0024,0.0000,142175875.08,32.6879,32.6957,32.6957
2026-08-12T11:15:10Z,375,372,372,3,0,238499.91,668,690,375,142116172.43,142116172.37,0.06,0.0024,0.0000,142002639.00,32.6481,32.6820,32.6820
2026-08-12T11:31:02Z,374,372,372,2,0,298202.62,668,689,374,142175875.14,142175875.08,0.06,0.0024,0.0000,142175875.08,32.6879,32.7063,32.7063
2026-08-12T11:46:45Z,373,372,371,2,1,288761.07,668,690,373,141838844.53,141838844.47,0.06,0.0024,0.0000,141838844.47,32.6104,32.6182,32.6182
2026-08-12T12:01:49Z,372,373,370,2,3,1098295.17,668,690,372,141602674.52,141602674.47,0.05,0.0024,0.0000,141304646.65,32.4876,32.5639,32.5639
2026-08-12T12:17:21Z,372,371,370,2,1,582518.28,668,690,372,141479699.60,141479699.54,0.06,0.0024,0.0000,141479699.54,32.5279,32.5356,32.5356
2026-08-12T12:32:54Z,372,371,370,2,1,664410.09,668,689,372,141561591.41,141561591.35,0.06,0.0024,0.0000,141561591.35,32.5467,32.5668,32.5668
2026-08-12T12:48:26Z,373,371,369,4,2,1205037.07,668,690,373,141866603.55,141866603.49,0.06,0.0024,0.0000,141866603.49,32.6168,32.6246,32.6246
2026-08-12T13:03:57Z,372,372,370,2,2,752873.03,668,690,372,141375945.02,141375944.97,0.05,0.0024,0.0000,141375944.97,32.5040,32.5117,32.5117
2026-08-12T13:19:41Z,373,373,373,0,0,0.00,668,690,373,141685231.21,141685231.16,0.05,0.0024,0.0000,141685231.16,32.5751,32.5829,32.5829
2026-08-12T13:35:14Z,374,373,371,3,2,844725.98,668,690,374,141684318.07,141684318.02,0.05,0.0024,0.0000,141684318.02,32.5749,32.5826,32.5826
2026-08-12T13:50:54Z,374,373,371,3,2,844725.98,668,689,374,141684318.07,141684318.02,0.05,0.0024,0.0000,141684318.02,32.5749,32.5854,32.5854
2026-08-12T14:06:51Z,373,372,372,1,0,298027.82,668,690,373,141678246.89,141678246.84,0.05,0.0024,0.0000,141678246.84,32.5735,32.5813,32.5813
2026-08-12T14:22:25Z,373,372,372,1,0,113533.37,668,689,373,141493752.44,141493752.39,0.05,0.0024,0.0000,141493752.39,32.5311,32.5402,32.5402
2026-08-12T14:38:00Z,375,372,372,3,0,536352.93,668,690,375,141916572.00,141916571.95,0.05,0.0024,0.0000,141916571.95,32.6283,32.6361,32.6361
2026-08-12T14:53:02Z,372,373,372,0,1,124791.74,668,690,372,141380219.07,141380219.02,0.05,0.0024,0.0000,141380219.02,32.5050,32.5127,32.5127
2026-08-12T15:08:59Z,374,373,373,1,0,113533.37,668,689,374,141618544.18,141618544.13,0.05,0.0024,0.0000,141618544.13,32.5598,32.5687,32.5687
2026-08-12T15:24:55Z,372,374,372,0,2,411561.19,668,690,372,141380219.07,141380219.02,0.05,0.0024,0.0000,141380219.02,32.5050,32.5127,32.5127
2026-08-12T15:40:13Z,375,374,373,2,1,630662.27,668,690,375,141826386.89,141826386.84,0.05,0.0024,0.0000,141826386.84,32.6076,32.6153,32.6153
2026-08-12T15:56:00Z,375,374,374,1,0,113533.37,668,690,375,141999622.97,141999622.92,0.05,0.0024,0.0000,141999622.92,32.6474,32.6552,32.6552
2026-08-12T16:11:45Z,375,374,373,2,1,536352.93,668,689,375,141826386.89,141826386.84,0.05,0.0024,0.0000,141826386.84,32.6076,32.6399,32.6399
2026-08-12T16:27:32Z,373,374,373,0,1,298027.82,668,689,373,141588061.78,141588061.73,0.05,0.0024,0.0000,141588061.73,32.5528,32.5851,32.5851
2026-08-12T16:42:35Z,374,373,373,1,0,124791.74,668,690,374,141712853.52,141712853.47,0.05,0.0024,0.0000,141712853.47,32.5815,32.5892,32.5892
